name,definition,category,slug
Legal Process,"The official procedures and steps taken to enforce laws and administer justice.",Legal & Ethical Systems,legal-process
Legislation,"Laws or statutes formally enacted by a legislative body.",Political Systems & Governance,legislation
Legislative Agenda,"The list of proposed laws and policy priorities that a legislature plans to address during a session.",Political Systems & Governance,legislative-agenda
Legislative Approval,"The formal consent given by a legislative body to pass laws, budgets, or appointments.",Political Systems & Governance,legislative-approval
Legislative Authority,"The legal power vested in a legislative body to create, amend, or repeal laws.",Political Systems & Governance,legislative-authority
Legislative Bills,"Proposed laws submitted to a legislature for debate and approval.",Political Systems & Governance,legislative-bills
Legislative Body,"An elected or appointed group of individuals responsible for making and enacting laws.",Political Systems & Governance,legislative-body
Legislative Branch,"The branch of government responsible for drafting, debating, and passing laws.",Political Systems & Governance,legislative-branch
Legislative Caucus,"A meeting of legislators from the same party or with common interests to coordinate strategies and decisions.",Political Systems & Governance,legislative-caucus
Legislative Debate,"Discussion and argumentation among lawmakers on the merits and details of proposed legislation.",Political Systems & Governance,legislative-debate
Legislative Dissent,"Formal or informal opposition to proposed laws or legislative actions by members of a legislature.",Political Systems & Governance,legislative-dissent
Legislative Opposition,"The political parties or legislators that are not part of the ruling government and challenge its proposals.",Political Systems & Governance,legislative-opposition
Legislative Priority,"Issues or policies ranked as most important for legislative action within a given period.",Political Systems & Governance,legislative-priority
Legislative Process,"The series of steps through which a bill becomes law, including drafting, debate, and approval.",Political Systems & Governance,legislative-process
Legislative Rules,"Procedures and guidelines that govern the conduct of legislative sessions and decision-making.",Political Systems & Governance,legislative-rules
Legislative Scheduling,"The organization and timing of legislative activities, including debates, votes, and hearings.",Political Systems & Governance,legislative-scheduling
Legislators for Political Gain,"Elected officials who use their legislative positions to advance personal or party interests, often through selective projects or spending.",Political Systems & Governance,legislators-for-political-gain
Limit Fragmentation,"A political strategy or electoral rule aimed at reducing the number of competing parties to encourage stability and efficiency.",Political Systems & Governance,limit-fragmentation
Open List System,"An electoral system allowing voters to influence the order of candidates on a party's list.",Political Systems & Governance,open-list-system
Opposition Parties,"Political parties that challenge and scrutinize the ruling government.",Political Systems & Governance,opposition-parties
Opposition Party,"A specific party not in power that holds the government accountable and offers alternatives.",Political Systems & Governance,opposition-party
Override Vote,"A legislative vote to overturn a decision, often a veto, by a higher authority.",Political Systems & Governance,override-vote
Oversight Agency,"An independent body tasked with monitoring and evaluating government activities.",Political Systems & Governance,oversight-agency
Oversight Committees,"Legislative groups responsible for supervising executive actions and public expenditures.",Political Systems & Governance,oversight-committees
Parliamentary Majority,"The number of seats required for a party or coalition to control the legislature.",Political Systems & Governance,parliamentary-majority
Parliamentary Oversight,"The power of parliament to supervise and check the executive branch.",Political Systems & Governance,parliamentary-oversight
Parliamentary Rules,"Formal procedures governing parliamentary debate, voting, and conduct.",Political Systems & Governance,parliamentary-rules
Parliamentary Sessions,"Scheduled meetings where legislative bodies debate and pass laws.",Political Systems & Governance,parliamentary-sessions
Partisan Conflict,"Disagreement or friction between political parties that affects governance.",Political Systems & Governance,partisan-conflict
Partisan Gridlock,"A legislative stalemate resulting from deep divisions between political parties.",Political Systems & Governance,partisan-gridlock
Party Decision Making,"The internal processes by which political parties determine their stances and actions.",Political Systems & Governance,party-decision-making
Party Discipline,"The expectation that party members vote and act in accordance with party policies.",Political Systems & Governance,party-discipline
Party Representation,"The extent to which a political party has elected members in legislative bodies.",Political Systems & Governance,party-representation
Party System,"The structure and number of political parties operating within a country.",Political Systems & Governance,party-system
Party Unity,"The cohesion and alignment of members within a political party.",Political Systems & Governance,party-unity
Patronage Politics,"The practice of distributing public jobs or resources in exchange for political support.",Political Systems & Governance,patronage-politics
Permanent Government,"A stable government that remains in place after interim or caretaker administrations.",Political Systems & Governance,permanent-government
Personal Politics,"A focus on individual political figures rather than party ideology or policy.",Political Systems & Governance,personal-politics
Petition or Legislation,"A mechanism through which citizens or lawmakers formally request legislative action.",Political Systems & Governance,petition-or-legislation
Pluralist Democracy,"A democratic system that allows multiple groups and interests to coexist and influence policy.",Political Systems & Governance,pluralist-democracy
Policy Agenda,"The set of issues prioritized for action by a government or political body.",Political Systems & Governance,policy-agenda
Policy Analysis,"The evaluation of policy options and their impacts to inform decision-making.",Political Systems & Governance,policy-analysis
Policy Deliberation,"Structured discussion aimed at evaluating and refining policy proposals.",Political Systems & Governance,policy-deliberation
Policy Disagreement,"Differences of opinion over proposed government actions or laws.",Political Systems & Governance,policy-disagreement
Policy Discussion,"Dialogue and debate over potential government actions and their consequences.",Political Systems & Governance,policy-discussion
Policy Entrepreneurs,"Individuals or organizations that promote policy innovation and reforms.",Political Systems & Governance,policy-entrepreneurs
Policy Formulation,"The process of developing policy proposals based on research and political input.",Political Systems & Governance,policy-formulation
Policy Initiatives,"Proposals or programs introduced to address public issues or challenges.",Political Systems & Governance,policy-initiatives
Policy Making,"The entire process through which policies are proposed, debated, enacted, and implemented.",Political Systems & Governance,policy-making
Policy Passage,"The formal approval of a proposed policy or law by a legislative body.",Political Systems & Governance,policy-passage
Policy Recommendations,"Expert or advisory suggestions provided to improve or guide policy decisions.",Political Systems & Governance,policy-recommendations
Policy Viability,"The practicality and likelihood of successfully implementing a proposed policy.",Political Systems & Governance,policy-viability
Political Beliefs,"An individual’s or group’s views on governance, power, and public policy.",Political Systems & Governance,political-beliefs
Political Campaign,"An organized effort to influence voters and win elections.",Political Systems & Governance,political-campaign
Political Campaigns,"Multiple or recurring efforts by parties or candidates to secure public office.",Political Systems & Governance,political-campaigns
Political Climate,"The prevailing attitudes, norms, and tensions surrounding political activity.",Political Systems & Governance,political-climate
Political Conduct,"The behavior and ethical standards of individuals engaged in political life.",Political Systems & Governance,political-conduct
Meritocracy,"A system in which advancement is based on individual ability or achievement rather than social class or connections.",Political Systems & Governance,meritocracy
Military,"The armed forces responsible for national defense and, in some cases, political intervention.",Political Systems & Governance,military
Minimum Participation,"The least number of participants required for a decision-making process to be valid.",Political Systems & Governance,minimum-participation
Minority Exclusion,"The systematic omission or marginalization of minority groups from political representation or influence.",Political Systems & Governance,minority-exclusion
Minority Representation,"The inclusion of ethnic, religious, or political minorities in decision-making bodies.",Political Systems & Governance,minority-representation
Misconduct Allegations,"Claims or accusations of unethical or illegal behavior by public officials.",Political Systems & Governance,misconduct-allegations
Moderation in Governance,"A political approach that favors compromise, pragmatism, and avoidance of extremism.",Political Systems & Governance,moderation-in-governance
Modern Democracy,"A contemporary form of democracy characterized by free elections, rule of law, and civil liberties.",Political Systems & Governance,modern-democracy
Monetary Transactions,"Exchanges involving money, often regulated by financial or legal institutions.",Political Systems & Governance,monetary-transactions
Multi-Party Systems,"Political systems that allow multiple political parties to compete and hold power.",Political Systems & Governance,multi-party-systems
Name Recognition,"The public awareness of a political figure’s name, often influencing election outcomes.",Political Systems & Governance,name-recognition
National Courts,"Judicial bodies operating at the national level, tasked with interpreting and enforcing laws.",Political Systems & Governance,national-courts
National Development,"The economic, social, and institutional growth of a country to improve the well-being of its citizens.",Political Systems & Governance,national-development
National Interest,"A country's goals and ambitions, whether economic, military, or cultural, considered important for its survival and prosperity.",Political Systems & Governance,national-interest
National Legislature,"The primary lawmaking body of a nation, such as a parliament or congress.",Political Systems & Governance,national-legislature
National Security Agency,"A government body tasked with protecting a nation from threats through intelligence and surveillance.",Political Systems & Governance,national-security-agency
National Unity and Local Control,"The balance between central government authority and regional autonomy.",Political Systems & Governance,national-unity-and-local-control
Nonpartisan Governance,"A system where public administration operates independently of political party influence.",Political Systems & Governance,nonpartisan-governance
Nonpartisan Oversight,"Supervision of government activities by neutral entities to ensure fairness and legality.",Political Systems & Governance,nonpartisan-oversight
Nonpartisan Views,"Political opinions or stances that are not aligned with any political party.",Political Systems & Governance,nonpartisan-views
Nonviolent Movements,"Organized efforts to achieve political or social change through peaceful means.",Political Systems & Governance,nonviolent-movements
Official Removal,"The process of lawfully taking a public official out of office.",Political Systems & Governance,official-removal
Official Vote,"A formal expression of choice or decision within a legislative or political setting.",Political Systems & Governance,official-vote
One Political Party,"A system in which only one political party is legally allowed to hold power.",Political Systems & Governance,one-political-party
Open Government,"A governing approach that promotes transparency, accountability, and citizen participation.",Political Systems & Governance,open-government
Limited Mandate,"A temporary or restricted authority granted to a government or official, often during transitional periods.",Political Systems & Governance,limited-mandate
Local Autonomy,"The ability of regional or municipal governments to govern themselves with minimal interference from the central government.",Political Systems & Governance,local-autonomy
Local Governance,"Administrative control and decision-making carried out at the municipal or regional level.",Political Systems & Governance,local-governance
Local Government,"The governing body of a specific locality, responsible for providing basic public services and administration.",Political Systems & Governance,local-government
Mail-in Voting,"A voting method that allows citizens to cast their ballots by mail, enhancing accessibility for remote or disabled voters.",Political Systems & Governance,mail-in-voting
Major Parties,"Political parties with widespread support and significant influence in a country’s political system.",Political Systems & Governance,major-parties
Major Rival Parties,"The primary political parties that compete for power in a competitive political system.",Political Systems & Governance,major-rival-parties
Majoritarian or Proportional,"A classification of electoral systems based on whether they favor majority rule or proportional representation.",Political Systems & Governance,majoritarian-or-proportional
Majoritarian System,"An electoral system where the candidate or party with the most votes wins, often at the expense of minority representation.",Political Systems & Governance,majoritarian-system
Majoritarian Systems,"Systems of governance or elections that prioritize rule by the majority, commonly used in single-member district setups.",Political Systems & Governance,majoritarian-systems
Majority Leader,"The head of the majority party in a legislative chamber, responsible for setting the legislative agenda.",Political Systems & Governance,majority-leader
Majority Legislation,"Laws or policies passed with the support of more than half of the legislative body.",Political Systems & Governance,majority-legislation
Majority Winner,"A candidate who secures more than 50% of the vote in an election, often avoiding a runoff.",Political Systems & Governance,majority-winner
Market Economy and Centralized Authority,"An economic-political hybrid model combining capitalist market structures with strong state control or regulation.",Political Systems & Governance,market-economy-and-centralized-authority
Market-Oriented Policies,"Government strategies aimed at promoting free-market principles and reducing state intervention in the economy.",Political Systems & Governance,market-oriented-policies
Media,"The collective communication outlets—television, newspapers, radio, and digital—that disseminate information to the public.",Political Systems & Governance,media
Media Access,"The ability of individuals or political entities to use media platforms to reach audiences.",Political Systems & Governance,media-access
Media Coverage,"The reporting and dissemination of news and events through various media outlets.",Political Systems & Governance,media-coverage
Media Neutrality,"The principle that media should report events and issues without bias or favoritism.",Political Systems & Governance,media-neutrality
Media Organizations,"Entities that produce and distribute news content through print, broadcast, or digital means.",Political Systems & Governance,media-organizations
Media Watchdogs,"Independent organizations or individuals that monitor media practices for fairness, ethics, and accuracy.",Political Systems & Governance,media-watchdogs
Mercantilism,"An economic theory that emphasizes national wealth accumulation through trade surplus and government intervention.",Political Systems & Governance,mercantilism
Merit-Based Hiring,"A recruitment system where candidates are selected based on qualifications, skills, and performance rather than patronage.",Political Systems & Governance,merit-based-hiring
Fascism,"A far-right, authoritarian political ideology that emphasizes nationalism, centralized control, suppression of dissent, and often racial or cultural superiority.",Political Systems & Governance,fascism
Favorable Political Moments,"Periods of opportunity when political, social, or economic conditions align to allow for policy change or reform.",Political Systems & Governance,favorable-political-moments
Federal Systems,"Governance structures where power is constitutionally divided between a central government and subnational units (e.g., states or provinces).",Political Systems & Governance,federal-systems
Fiscal Policy,"Government strategies for managing revenue collection and public spending to influence a nation’s economy.",Political Systems & Governance,fiscal-policy
Flips in Elections,"Electoral outcomes where a district or seat changes party control from one election to the next, indicating a shift in voter preference.",Political Systems & Governance,flips-in-elections
Foreign Policy,"A government's strategy in dealing with other nations, including diplomacy, trade, military alliances, and conflict resolution.",Political Systems & Governance,foreign-policy
Formal Vote,"An official process where decisions are made or laws passed through structured voting procedures, often within a legislative body.",Political Systems & Governance,formal-vote
Fossil Fuel Lobby,"Interest groups that advocate for the fossil fuel industry, often influencing legislation and public policy on energy.",Political Systems & Governance,fossil-fuel-lobby
Free and Fair Elections,"Electoral processes conducted transparently, without coercion or fraud, where all eligible voters can participate equally.",Political Systems & Governance,free-and-fair-elections
Free Choice,"The ability of individuals to make decisions without coercion or undue influence, particularly in political participation.",Political Systems & Governance,free-choice
Freedom of Press,"The right of media organizations to operate independently and report news without censorship or government interference.",Political Systems & Governance,freedom-of-press
Funds to Local Projects,"Government spending directed at specific constituencies, often for infrastructure or community development, sometimes tied to political incentives.",Political Systems & Governance,funds-to-local-projects
Geopolitical Realities,"The practical considerations of global power dynamics, geography, and national interests that shape foreign and domestic policy decisions.",Political Systems & Governance,geopolitical-realities






